code_module;code_presentation;id_student;gender;region;highest_education;imd_band;age_band;num_of_prev_attempts;studied_credits;disability;final_result
FFF;2014J;31296;M;East Midlands Region;Lower Than A Level;30-40%;0-35;1;60;N;Fail
FFF;2014J;35747;M;North Western Region;A Level or Equivalent;0-10%;35-55;0;120;N;Withdrawn
FFF;2014J;35796;M;Wales;A Level or Equivalent;20-30%;0-35;0;60;N;Fail
FFF;2014J;40857;F;North Western Region;A Level or Equivalent;30-40%;0-35;0;120;Y;Withdrawn
FFF;2014J;40878;M;North Western Region;Lower Than A Level;0-10%;0-35;0;120;N;Distinction
FFF;2014J;42552;F;East Anglian Region;A Level or Equivalent;80-90%;0-35;0;90;N;Pass
FFF;2014J;43958;M;Wales;A Level or Equivalent;90-100%;35-55;1;60;N;Fail
FFF;2014J;45423;M;South West Region;Lower Than A Level;70-80%;35-55;0;60;N;Fail
FFF;2014J;47861;M;South East Region;A Level or Equivalent;50-60%;0-35;0;60;Y;Pass
FFF;2014J;52275;M;London Region;No Formal quals;0-10%;0-35;0;90;N;Fail
FFF;2014J;54772;M;South Region;Lower Than A Level;90-100%;0-35;0;60;N;Withdrawn
FFF;2014J;56637;M;East Midlands Region;Lower Than A Level;50-60%;0-35;0;90;Y;Distinction
FFF;2014J;56667;M;Yorkshire Region;Lower Than A Level;40-50%;35-55;2;120;N;Fail
FFF;2014J;58884;M;South Region;A Level or Equivalent;40-50%;35-55;0;90;Y;Distinction
FFF;2014J;61297;F;East Midlands Region;No Formal quals;0-10%;0-35;0;180;N;Withdrawn
FFF;2014J;63112;M;South East Region;Lower Than A Level;80-90%;35-55;0;60;N;Withdrawn
FFF;2014J;64427;M;London Region;A Level or Equivalent;0-10%;0-35;0;60;N;Distinction
FFF;2014J;64777;M;North Western Region;Lower Than A Level;30-40%;0-35;1;90;Y;Withdrawn
FFF;2014J;66892;M;London Region;A Level or Equivalent;20-30%;0-35;1;60;N;Withdrawn
FFF;2014J;69439;M;East Midlands Region;Lower Than A Level;80-90%;0-35;0;90;N;Withdrawn
FFF;2014J;71159;M;North Region;Lower Than A Level;;35-55;0;60;N;Pass
FFF;2014J;74165;M;West Midlands Region;A Level or Equivalent;30-40%;0-35;0;60;N;Pass
FFF;2014J;75107;M;North Region;Lower Than A Level;;35-55;0;60;N;Distinction
FFF;2014J;77692;M;Wales;HE Qualification;50-60%;35-55;0;60;N;Pass
FFF;2014J;77995;M;East Midlands Region;A Level or Equivalent;oct-20;0-35;0;60;N;Pass
FFF;2014J;79610;M;West Midlands Region;A Level or Equivalent;60-70%;0-35;0;60;N;Pass
FFF;2014J;80438;M;East Midlands Region;A Level or Equivalent;90-100%;0-35;0;120;N;Pass
FFF;2014J;82201;F;London Region;Lower Than A Level;50-60%;0-35;1;60;N;Fail
FFF;2014J;84604;F;North Region;A Level or Equivalent;60-70%;35-55;0;90;N;Distinction
FFF;2014J;85241;M;South West Region;Lower Than A Level;50-60%;0-35;0;120;Y;Withdrawn
FFF;2014J;87264;M;South East Region;Lower Than A Level;30-40%;0-35;0;60;N;Distinction
FFF;2014J;87322;M;Wales;Lower Than A Level;50-60%;0-35;0;120;Y;Pass
FFF;2014J;90651;M;South Region;A Level or Equivalent;90-100%;35-55;0;120;N;Withdrawn
FFF;2014J;91801;M;Yorkshire Region;Lower Than A Level;50-60%;35-55;1;60;N;Withdrawn
FFF;2014J;94749;M;Wales;Lower Than A Level;90-100%;0-35;0;60;N;Fail
FFF;2014J;98256;M;West Midlands Region;Lower Than A Level;40-50%;0-35;0;120;N;Withdrawn
FFF;2014J;101217;M;London Region;A Level or Equivalent;40-50%;35-55;2;60;Y;Fail
FFF;2014J;102854;M;South East Region;Lower Than A Level;40-50%;0-35;0;60;N;Distinction
FFF;2014J;103594;M;Wales;Lower Than A Level;50-60%;0-35;0;180;N;Withdrawn
FFF;2014J;105125;M;Yorkshire Region;Lower Than A Level;0-10%;0-35;0;60;N;Withdrawn
