code_student;code_module;code_presentation;id_student;date_registration;date_unregistration
1;FFF;2014J;31296;-20;
2;FFF;2014J;35747;-15;12
3;FFF;2014J;35796;-66;
4;FFF;2014J;40857;-89;108
5;FFF;2014J;40878;-86;
6;FFF;2014J;42552;-150;
7;FFF;2014J;43958;-115;
8;FFF;2014J;45423;-31;
9;FFF;2014J;47861;-103;
10;FFF;2014J;52275;-136;
11;FFF;2014J;54772;-99;-92
12;FFF;2014J;56637;-99;
13;FFF;2014J;56667;-46;
14;FFF;2014J;58884;-50;
15;FFF;2014J;61297;-66;-2
16;FFF;2014J;63112;-150;130
17;FFF;2014J;64427;-78;
18;FFF;2014J;64777;-123;
19;FFF;2014J;66892;-17;72
20;FFF;2014J;69439;-24;12
21;FFF;2014J;71159;-44;
22;FFF;2014J;74165;-72;
23;FFF;2014J;75107;-92;
24;FFF;2014J;77692;-46;
25;FFF;2014J;77995;-15;
26;FFF;2014J;79610;-61;
27;FFF;2014J;80438;-86;
28;FFF;2014J;82201;-16;
29;FFF;2014J;84604;-79;
30;FFF;2014J;85241;-10;125
31;FFF;2014J;87264;-36;
32;FFF;2014J;87322;-28;
33;FFF;2014J;90651;-148;12
34;FFF;2014J;91801;-146;79
35;FFF;2014J;94749;-22;
36;FFF;2014J;98256;-101;12
37;FFF;2014J;101217;-44;
38;FFF;2014J;102854;-116;
39;FFF;2014J;103594;-85;-60
40;FFF;2014J;105125;-61;47
41;FFF;2014J;105939;-50;
42;FFF;2014J;107455;-22;
43;FFF;2014J;108949;-60;
44;FFF;2014J;109577;-50;
45;FFF;2014J;109907;-41;-31
46;FFF;2014J;110820;-108;90
47;FFF;2014J;113702;-10;115
48;FFF;2014J;116529;-46;
49;FFF;2014J;119310;-57;
50;FFF;2014J;119865;-37;
51;FFF;2014J;125063;-136;
52;FFF;2014J;127179;-81;12
53;FFF;2014J;129907;-18;
54;FFF;2014J;130409;-143;
55;FFF;2014J;131597;-52;
56;FFF;2014J;132423;-21;12
57;FFF;2014J;132475;-100;
58;FFF;2014J;135280;-23;
59;FFF;2014J;136944;-15;
60;FFF;2014J;139206;-23;
61;FFF;2014J;142310;-94;
62;FFF;2014J;143755;-144;
63;FFF;2014J;144959;-11;188
64;FFF;2014J;149178;-18;
65;FFF;2014J;149964;-75;
66;FFF;2014J;150282;-16;
67;FFF;2014J;152524;-94;
68;FFF;2014J;152917;-56;
69;FFF;2014J;155938;-102;
70;FFF;2014J;157225;-34;128
71;FFF;2014J;159906;-64;
72;FFF;2014J;159947;-14;
73;FFF;2014J;161837;-86;-36
74;FFF;2014J;164148;-46;
75;FFF;2014J;166123;-28;
76;FFF;2014J;166607;-24;110
77;FFF;2014J;169596;-14;
78;FFF;2014J;170874;-89;
79;FFF;2014J;171692;19;153
80;FFF;2014J;172493;-56;
81;FFF;2014J;173412;-72;171
82;FFF;2014J;177492;-22;
83;FFF;2014J;184627;-155;12
84;FFF;2014J;184720;-58;
85;FFF;2014J;185994;-114;
86;FFF;2014J;191504;-53;151
87;FFF;2014J;194163;-31;
88;FFF;2014J;195246;-124;
89;FFF;2014J;195552;-88;
90;FFF;2014J;197188;-29;
91;FFF;2014J;197536;-49;
92;FFF;2014J;199009;-58;
93;FFF;2014J;204117;-66;136
94;FFF;2014J;226955;-141;
95;FFF;2014J;228633;-68;
96;FFF;2014J;229498;-56;
97;FFF;2014J;230656;-22;-9
98;FFF;2014J;230947;-128;
99;FFF;2014J;231980;-144;-43
100;FFF;2014J;232173;-142;
