id_site;code_module;code_presentation;activity_type;week_from;week_to
34899;FFF;2014J;TMA;4;4
34900;FFF;2014J;TMA;8;8
34901;FFF;2014J;TMA;14;14
34902;FFF;2014J;TMA;20;20
34903;FFF;2014J;TMA;29;29
883082;FFF;2014J;subpage;0;0
883294;FFF;2014J;url;0;0
882713;FFF;2014J;questionnaire;19;19
883163;FFF;2014J;url;14;14
882561;FFF;2014J;oucontent;9;9
882932;FFF;2014J;resource;0;0
883195;FFF;2014J;url;18;18
882597;FFF;2014J;oucontent;29;29
882985;FFF;2014J;resource;0;0
883228;FFF;2014J;url;23;23
882635;FFF;2014J;oucontent;27;27
883048;FFF;2014J;subpage;14;14
883261;FFF;2014J;url;9;9
882670;FFF;2014J;oucontent;2;2
883079;FFF;2014J;subpage;18;18
883291;FFF;2014J;url;0;0
882710;FFF;2014J;page;0;0
883160;FFF;2014J;oucollaborate;0;0
882558;FFF;2014J;ouwiki;0;0
882925;FFF;2014J;resource;0;0
883192;FFF;2014J;url;3;3
882594;FFF;2014J;oucontent;29;29
882982;FFF;2014J;resource;0;0
883224;FFF;2014J;url;22;22
882632;FFF;2014J;oucontent;9;9
883045;FFF;2014J;subpage;9;9
883257;FFF;2014J;url;28;28
882667;FFF;2014J;oucontent;11;11
883075;FFF;2014J;subpage;0;0
883288;FFF;2014J;url;0;0
882707;FFF;2014J;page;1;1
883157;FFF;2014J;oucollaborate;0;0
882554;FFF;2014J;ouwiki;0;0
882915;FFF;2014J;resource;0;0
882922;FFF;2014J;resource;0;0
883189;FFF;2014J;url;2;2
882591;FFF;2014J;oucontent;29;29
882979;FFF;2014J;resource;0;0
883221;FFF;2014J;url;22;22
882629;FFF;2014J;oucontent;18;18
883041;FFF;2014J;subpage;2;2
883254;FFF;2014J;url;28;28
882664;FFF;2014J;oucontent;13;13
883072;FFF;2014J;subpage;0;0
883285;FFF;2014J;url;0;0
882704;FFF;2014J;page;0;0
883154;FFF;2014J;oucollaborate;0;0
882551;FFF;2014J;forumng;0;0
882912;FFF;2014J;resource;0;0
882919;FFF;2014J;resource;0;0
883186;FFF;2014J;url;2;2
882588;FFF;2014J;oucontent;29;29
882974;FFF;2014J;resource;0;0
883218;FFF;2014J;url;22;22
882625;FFF;2014J;oucontent;11;11
883037;FFF;2014J;subpage;0;0
883251;FFF;2014J;url;28;28
882661;FFF;2014J;oucontent;10;10
