id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,code_student,date_registration,date_unregistration
31296,M,East Midlands Region,Lower Than A Level,30-40%,0-35,1,60,N,Fail,1,-20.0,
35747,M,North Western Region,A Level or Equivalent,0-10%,35-55,0,120,N,Withdrawn,2,-15.0,12.0
35796,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,3,-66.0,
40857,F,North Western Region,A Level or Equivalent,30-40%,0-35,0,120,Y,Withdrawn,4,-89.0,108.0
40878,M,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Distinction,5,-86.0,
42552,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,6,-150.0,
43958,M,Wales,A Level or Equivalent,90-100%,35-55,1,60,N,Fail,7,-115.0,
45423,M,South West Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,8,-31.0,
47861,M,South East Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Pass,9,-103.0,
52275,M,London Region,No Formal quals,0-10%,0-35,0,90,N,Fail,10,-136.0,
54772,M,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn,11,-99.0,-92.0
56637,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,90,Y,Distinction,12,-99.0,
56667,M,Yorkshire Region,Lower Than A Level,40-50%,35-55,2,120,N,Fail,13,-46.0,
58884,M,South Region,A Level or Equivalent,40-50%,35-55,0,90,Y,Distinction,14,-50.0,
61297,F,East Midlands Region,No Formal quals,0-10%,0-35,0,180,N,Withdrawn,15,-66.0,-2.0
63112,M,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Withdrawn,16,-150.0,130.0
64427,M,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Distinction,17,-78.0,
64777,M,North Western Region,Lower Than A Level,30-40%,0-35,1,90,Y,Withdrawn,18,-123.0,
66892,M,London Region,A Level or Equivalent,20-30%,0-35,1,60,N,Withdrawn,19,-17.0,72.0
69439,M,East Midlands Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,20,-24.0,12.0
71159,M,North Region,Lower Than A Level,,35-55,0,60,N,Pass,21,-44.0,
74165,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,22,-72.0,
75107,M,North Region,Lower Than A Level,,35-55,0,60,N,Distinction,23,-92.0,
77692,M,Wales,HE Qualification,50-60%,35-55,0,60,N,Pass,24,-46.0,
77995,M,East Midlands Region,A Level or Equivalent,oct-20,0-35,0,60,N,Pass,25,-15.0,
79610,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,26,-61.0,
80438,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,27,-86.0,
82201,F,London Region,Lower Than A Level,50-60%,0-35,1,60,N,Fail,28,-16.0,
84604,F,North Region,A Level or Equivalent,60-70%,35-55,0,90,N,Distinction,29,-79.0,
85241,M,South West Region,Lower Than A Level,50-60%,0-35,0,120,Y,Withdrawn,30,-10.0,125.0
87264,M,South East Region,Lower Than A Level,30-40%,0-35,0,60,N,Distinction,31,-36.0,
87322,M,Wales,Lower Than A Level,50-60%,0-35,0,120,Y,Pass,32,-28.0,
90651,M,South Region,A Level or Equivalent,90-100%,35-55,0,120,N,Withdrawn,33,-148.0,12.0
91801,M,Yorkshire Region,Lower Than A Level,50-60%,35-55,1,60,N,Withdrawn,34,-146.0,79.0
94749,M,Wales,Lower Than A Level,90-100%,0-35,0,60,N,Fail,35,-22.0,
98256,M,West Midlands Region,Lower Than A Level,40-50%,0-35,0,120,N,Withdrawn,36,-101.0,12.0
101217,M,London Region,A Level or Equivalent,40-50%,35-55,2,60,Y,Fail,37,-44.0,
102854,M,South East Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,38,-116.0,
103594,M,Wales,Lower Than A Level,50-60%,0-35,0,180,N,Withdrawn,39,-85.0,-60.0
105125,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn,40,-61.0,47.0
105939,M,North Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,41,-50.0,
107455,M,Ireland,HE Qualification,50-60%,0-35,0,120,N,Fail,42,-22.0,
108949,M,North Western Region,Lower Than A Level,oct-20,0-35,2,60,N,Fail,43,-60.0,
109577,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,44,-50.0,
109907,F,London Region,Lower Than A Level,50-60%,35-55,0,120,N,Withdrawn,45,-41.0,-31.0
110820,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,Y,Withdrawn,46,-108.0,90.0
113702,M,Ireland,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,47,-10.0,115.0
116529,M,West Midlands Region,Lower Than A Level,30-40%,0-35,1,120,N,Fail,48,-46.0,
119310,M,North Western Region,Lower Than A Level,20-30%,0-35,0,150,N,Pass,49,-57.0,
119865,M,South West Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,50,-37.0,
125063,M,London Region,Lower Than A Level,60-70%,35-55,0,60,N,Fail,51,-136.0,
127179,M,South West Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,52,-81.0,12.0
129907,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Distinction,53,-18.0,
130409,M,South East Region,Lower Than A Level,20-30%,0-35,0,60,Y,Pass,54,-143.0,
131597,M,Scotland,A Level or Equivalent,40-50%,0-35,0,430,N,Pass,55,-52.0,
132423,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Withdrawn,56,-21.0,12.0
132475,F,Scotland,HE Qualification,20-30%,0-35,0,60,N,Pass,57,-100.0,
135280,M,North Region,Lower Than A Level,,0-35,0,120,N,Distinction,58,-23.0,
136944,M,Scotland,A Level or Equivalent,40-50%,0-35,1,90,N,Pass,59,-15.0,
139206,M,Wales,Lower Than A Level,30-40%,0-35,0,60,N,Distinction,60,-23.0,
142310,M,Scotland,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,61,-94.0,
143755,F,East Midlands Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,62,-144.0,
144959,M,Ireland,A Level or Equivalent,90-100%,0-35,1,90,N,Withdrawn,63,-11.0,188.0
149178,M,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,64,-18.0,
149964,M,East Anglian Region,Lower Than A Level,70-80%,0-35,0,240,N,Withdrawn,65,-75.0,
150282,M,Ireland,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,66,-16.0,
152524,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,120,N,Distinction,67,-94.0,
152917,M,North Western Region,A Level or Equivalent,20-30%,35-55,0,150,Y,Distinction,68,-56.0,
155938,M,South Region,A Level or Equivalent,,0-35,0,60,N,Pass,69,-102.0,
157225,M,South East Region,A Level or Equivalent,60-70%,35-55,0,150,N,Withdrawn,70,-34.0,128.0
159906,M,East Midlands Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,71,-64.0,
159947,M,Wales,HE Qualification,oct-20,35-55,0,120,N,Fail,72,-14.0,
161837,M,South Region,A Level or Equivalent,80-90%,0-35,0,120,Y,Withdrawn,73,-86.0,-36.0
164148,F,North Region,A Level or Equivalent,oct-20,0-35,0,60,N,Pass,74,-46.0,
166123,M,East Anglian Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,75,-28.0,
166607,M,Scotland,A Level or Equivalent,oct-20,0-35,0,90,N,Withdrawn,76,-24.0,110.0
169596,M,West Midlands Region,Lower Than A Level,80-90%,35-55,2,90,N,Fail,77,-14.0,
170874,M,North Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,78,-89.0,
171692,F,Wales,A Level or Equivalent,0-10%,0-35,1,150,N,Withdrawn,79,19.0,153.0
172493,M,North Region,A Level or Equivalent,30-40%,0-35,0,90,N,Pass,80,-56.0,
173412,M,North Region,HE Qualification,20-30%,0-35,1,60,N,Withdrawn,81,-72.0,171.0
177492,M,West Midlands Region,HE Qualification,oct-20,0-35,0,60,N,Distinction,82,-22.0,
184627,F,London Region,HE Qualification,0-10%,35-55,4,240,N,Withdrawn,83,-155.0,12.0
184720,M,Wales,Lower Than A Level,oct-20,0-35,3,60,N,Fail,84,-58.0,
185994,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,85,-114.0,
191504,M,Ireland,Lower Than A Level,oct-20,0-35,0,90,N,Withdrawn,86,-53.0,151.0
194163,M,Yorkshire Region,Lower Than A Level,oct-20,0-35,0,90,N,Pass,87,-31.0,
195246,M,West Midlands Region,Lower Than A Level,oct-20,0-35,0,60,N,Fail,88,-124.0,
195552,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,1,120,N,Pass,89,-88.0,
197188,M,North Western Region,Lower Than A Level,0-10%,0-35,0,120,Y,Withdrawn,90,-29.0,
197536,F,Yorkshire Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,91,-49.0,
199009,M,Scotland,Lower Than A Level,70-80%,0-35,0,90,N,Pass,92,-58.0,
204117,M,London Region,Lower Than A Level,70-80%,0-35,0,60,Y,Withdrawn,93,-66.0,136.0
226955,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,94,-141.0,
228633,M,West Midlands Region,Lower Than A Level,50-60%,0-35,0,110,N,Pass,95,-68.0,
229498,M,Scotland,A Level or Equivalent,0-10%,0-35,4,60,N,Pass,96,-56.0,
230656,M,North Region,Lower Than A Level,0-10%,0-35,0,240,N,Withdrawn,97,-22.0,-9.0
230947,M,North Western Region,Lower Than A Level,40-50%,0-35,0,90,N,Fail,98,-128.0,
231980,M,South East Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn,99,-144.0,-43.0
232173,M,North Western Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,100,-142.0,
234031,M,Wales,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,101,-124.0,24.0
234661,M,South Region,Lower Than A Level,80-90%,0-35,1,60,N,Pass,102,-18.0,
235747,M,South West Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,103,-31.0,12.0
235768,M,South West Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,104,-115.0,
235971,M,West Midlands Region,A Level or Equivalent,oct-20,0-35,0,60,N,Pass,105,-107.0,
