code_student;0;1;2;3;9;10;11;12;13;14;15;16;18;20;21;22;23;24;26;27;28;29
1;11;;;;;;;;;;;;21;;;;;;;;;1
2;25;1;;5;;;;;;;;;;;;;;;;;;
3;12;2;1;5;;;;;;;;;2;;;;;;;;;
4;17;1;3;;;;;;;;;;;;;;;;;;;
5;35;2;1;4;1;;;4;2;;;;13;;;2;;;;;;
6;101;12;3;2;1;2;;;;1;1;;24;;1;;;;;1;;
7;7;2;;;;;1;3;;;;;;;;;;;;;;
8;110;12;1;9;;;1;;;;;;24;;;1;;;;;;
9;109;24;6;4;1;;;7;2;;;;11;;;;;;;;;
10;;;;;;;;;;;;;1;;;;;;;;;
12;55;;1;;1;;1;2;2;;1;;10;;;3;;;;;;
13;23;2;;;;;;;;;;;;;;;;;;;;
14;66;;;2;2;5;2;4;2;;3;;85;;1;7;;;;;;6
15;4;;;;;;;;;;;;;;;;;;;;;
16;51;1;;;;;;;;;;;;;;;;;;;;
17;98;;;2;;;1;5;2;;;;15;;1;5;;;;;;4
19;18;;;;;;;;;;;;3;;;;;;;;;
20;11;;;;;;;;;;;;;;;;;;;;;
21;112;2;2;1;;1;2;;4;1;2;;14;;;1;;;;;;3
22;25;2;2;;;;;;;;;;11;;;;;;;;;
23;117;7;5;2;2;1;3;2;3;;1;;47;1;5;10;;;1;1;9;
24;38;;;;;;;;;;;;10;;;;;;;;1;
25;16;;;2;;;;;;;;;;;;;;;;;;
26;21;7;;;;;;;;;;;24;;;;;;;;;
27;46;;1;2;;;;;;;;;5;;;;;;;;1;
29;104;;1;5;5;1;6;8;6;6;3;;39;;6;21;3;2;;;5;7
30;7;;;;;;;;;;;;;;;;;;;;;
31;133;;;5;;;1;2;2;;;;34;;1;9;;;2;1;2;11
32;26;1;1;;;;;;;;;;3;;;;;;;;;
33;8;9;;;;;;;;;;;;;;;;;;;;
34;38;3;1;1;;;;;;;;;;;;;;;;;;
35;15;;;;;;;1;;;;;2;;;;;;;;;
36;10;;;;;;;;;;;;;;;;;;;;;
37;62;1;1;;;;;;;;;;1;;1;;;;;;1;1
38;73;10;2;3;;;1;2;2;;1;;6;;1;1;;;;;;1
40;16;;;;;;;;;;;;;;;;;;;;;
41;35;;;;;;1;1;2;;;;10;;;1;;;;;;
42;35;;;;;;;;;;;;5;;;;;;;;;
43;11;;;;;;;;;;;;;;;;;;;;;
44;17;2;;;;;;;;;;;8;;;;;;;;;
46;11;3;1;;;;;;;;;;;;;;;;;;;
47;16;6;3;2;1;;2;3;;2;;;;;;;;;;;;
48;;1;;;;;;;;;;;;;;;;;;;;
49;83;;;;;;;;;;;;6;;;;;;;;5;
50;41;3;;;;;;;;;;;9;;;;;;;;2;
51;113;4;4;3;;;;5;;;;;23;;1;7;;;;;;
52;14;;;;;;;;;;;;1;;;;;;;;;
53;50;1;;2;3;1;1;2;;;2;;16;;2;1;;;;;;
54;27;;;;;;;;;;;;6;;;;;;;;;
55;17;;;1;;;1;3;;;;;5;;;;;;;;2;
56;7;;;;;;;;;;;;;;;;;;;;;
57;95;1;3;6;;;1;;;;2;;9;;;;;;;;4;8
58;47;5;2;6;2;;3;3;3;4;2;1;16;;3;7;4;2;3;4;5;7
59;9;;;;;;;;1;;;;7;;;;;;;;;
60;76;4;7;;1;;2;2;;;;;14;;1;2;;;;;;3
61;33;;;;1;;2;1;2;;;;17;;2;;;;;;;
62;86;6;4;9;;1;2;4;;;1;;8;;;;;;;;;1
63;1;;;;;;;;;;;;1;;;;;;;;;
64;52;3;;1;;;;;;;;;2;;;;;;;;;
65;8;;;;;;;;;;;;;;;;;;;;;
66;34;;1;;;;;;;;;;5;;1;;;;;;;
67;87;5;1;4;1;;;1;;;1;;16;;1;;;;2;;;3
68;110;2;1;11;2;;3;2;3;2;2;1;17;2;5;9;12;3;6;4;2;7
69;24;3;1;;;;;;;;;;8;;;;;;;;;
70;32;1;1;1;;;;;;;;;5;;;;;;;;;
71;12;1;;;;;;;;;;;2;;;;;;;;;
72;43;4;2;5;;;;;;4;;;33;;;;;;;;;
74;60;;2;2;;;1;1;1;;;;31;;;;;;;;;
75;36;1;1;1;;;;3;2;;;;30;;;2;;;;;;1
76;1;;;;;;;;;;;;;;;;;;;;;
77;22;;3;6;1;;1;3;;;;;1;;;;;;;;;
78;31;;;;;;;1;;;;;;;;;;;;;;
79;11;;;;;;;;;;;;;;;;;;;;;
80;56;7;;3;1;;8;2;1;;;;13;;;1;;;;;;
81;5;;;;;;;;;;2;;3;;;;;;;;;
82;130;3;6;3;2;;1;1;;1;1;;19;;;10;;;;;;1
83;23;;;1;;;;;;;;;7;;;;;;;;;
84;13;1;;;;;;;;;;;;;;;;;;;;
85;58;3;;;2;;1;2;2;;2;;15;;1;;;;;;;
86;31;;;;;;;;;;;;1;;;;;;;;;
87;135;;2;1;;;1;2;;;;;19;;1;7;;;1;;;3
88;107;2;5;6;;;;;;;4;;9;;;;;;;;;
89;31;5;;;1;1;;1;3;;;;6;;;2;;;;;2;
90;22;;;;;;;;;;;;2;;;;;;;;;
91;41;;;;;;;;;;;;8;;;;;;;;;
92;25;;1;1;;;;2;;;;;15;;;;;;;;;1
93;17;;1;;;;;;;;;;;;;;;;;;;
94;34;8;2;2;;;;;;;;;4;;;;;;;;;
95;57;2;;;;;2;;;;;;17;;;3;;;;;;
96;44;;1;1;1;;;2;;;;;16;;;;;;;;;5
98;6;;;;;;;;;;;;1;;;;;;;;;
100;46;4;1;3;;2;2;1;;;;;34;;;5;;;;;;1
101;2;;;;;;;;;;;;;;;;;;;;;
102;55;6;;1;2;;1;2;;;;;18;;;;;;;;;
103;4;;;;;;;;;;;;;;;;;;;;;
104;24;;1;;;;;;;;;;1;;;;;;;;;
105;23;;1;;;2;;1;;;;;8;;;;;;;;;1
106;62;5;3;1;;;2;2;2;3;1;;17;;;;;;;;;
107;26;1;;;;;;;;;;;7;;;;;;;;;
110;65;1;;5;;;;;;;;;8;;;;;;;;;
