code_student;result;Test_App
1;Fail;app
2;Dropout;app
3;Fail;test
4;Dropout;test
5;Pass;test
6;Pass;app
7;Fail;app
8;Fail;app
9;Pass;app
10;Fail;app
11;Dropout;app
12;Pass;test
13;Fail;test
14;Pass;app
15;Dropout;app
16;Dropout;app
17;Pass;app
18;Dropout;app
19;Dropout;app
20;Dropout;app
21;Pass;app
22;Pass;app
23;Pass;app
24;Pass;app
25;Pass;test
26;Pass;app
27;Pass;app
28;Fail;app
29;Pass;app
30;Dropout;app
31;Pass;app
32;Pass;app
33;Dropout;app
34;Dropout;app
35;Fail;app
36;Dropout;app
37;Fail;app
38;Pass;app
39;Dropout;app
40;Dropout;test
41;Pass;app
42;Fail;app
43;Fail;app
44;Pass;app
45;Dropout;app
46;Dropout;app
47;Dropout;app
48;Fail;app
49;Pass;app
50;Pass;app
51;Fail;app
52;Dropout;app
53;Pass;app
54;Pass;app
55;Pass;test
56;Dropout;app
57;Pass;app
58;Pass;app
59;Pass;app
60;Pass;test
61;Pass;app
62;Pass;app
63;Dropout;app
64;Pass;app
65;Dropout;app
66;Pass;app
67;Pass;app
68;Pass;app
69;Pass;app
70;Dropout;test
71;Pass;app
72;Fail;test
73;Dropout;app
74;Pass;app
75;Pass;app
76;Dropout;app
77;Fail;app
78;Pass;app
79;Dropout;app
80;Pass;app
81;Dropout;app
82;Pass;app
83;Dropout;app
84;Fail;app
85;Pass;test
86;Dropout;app
87;Pass;app
88;Fail;app
89;Pass;app
90;Dropout;app
91;Pass;app
92;Pass;app
93;Dropout;app
94;Fail;app
95;Pass;app
96;Pass;app
97;Dropout;app
98;Fail;app
99;Dropout;app
100;Pass;app
101;Dropout;app
102;Pass;app
103;Dropout;app
104;Pass;app
105;Pass;app
106;Fail;test
107;Pass;app
108;Dropout;app
109;Fail;app
110;Pass;app
111;Fail;app
112;Dropout;app
113;Dropout;test
114;Pass;app
115;Pass;app
116;Pass;app
117;Pass;app
118;Pass;app
119;Dropout;app
120;Dropout;app
121;Pass;app
122;Dropout;app
123;Fail;app
124;Dropout;app
125;Pass;app
126;Fail;app
127;Pass;app
128;Dropout;app
129;Fail;app
130;Pass;app
131;Pass;test
132;Dropout;app
133;Dropout;app
134;Dropout;app
135;Pass;app
136;Dropout;app
137;Dropout;app
138;Pass;app
139;Pass;app
140;Pass;app
141;Dropout;app
142;Pass;app
143;Dropout;app
144;Pass;app
145;Pass;app
146;Pass;app
147;Fail;app
148;Pass;app
149;Dropout;app
150;Dropout;app
151;Pass;app
152;Dropout;app
153;Fail;app
154;Fail;test
155;Pass;app
156;Dropout;app
157;Pass;app
158;Fail;app
159;Pass;app
160;Pass;app
161;Dropout;test
162;Pass;app
163;Dropout;app
164;Pass;app
165;Pass;app
166;Fail;app
167;Dropout;app
168;Pass;app
169;Pass;app
170;Pass;app
171;Dropout;app
172;Pass;test
173;Dropout;app
174;Pass;app
175;Dropout;app
176;Pass;app
177;Dropout;app
178;Pass;app
179;Pass;app
180;Dropout;app
181;Fail;app
182;Pass;app
183;Dropout;app
184;Dropout;app
185;Fail;app
186;Dropout;app
187;Pass;app
188;Pass;app
189;Fail;app
190;Dropout;app
191;Pass;app
192;Dropout;app
193;Pass;app
194;Pass;app
195;Pass;app
196;Pass;app
197;Pass;app
198;Dropout;app
199;Fail;app
200;Dropout;app
201;Fail;app
202;Pass;app
203;Pass;app
204;Pass;app
205;Pass;app
206;Pass;app
207;Dropout;app
208;Pass;app
209;Dropout;test
210;Pass;app
211;Dropout;app
212;Pass;app
213;Fail;app
214;Pass;app
215;Fail;app
216;Dropout;app
217;Dropout;app
218;Pass;app
219;Pass;test
220;Dropout;app
221;Dropout;app
222;Pass;app
223;Pass;app
224;Dropout;app
225;Pass;app
226;Pass;app
227;Pass;app
228;Pass;app
229;Dropout;app
230;Pass;app
231;Dropout;app
232;Fail;app
233;Pass;app
234;Fail;app
235;Fail;app
236;Dropout;app
237;Pass;app
238;Pass;app
239;Pass;app
240;Dropout;app
241;Dropout;app
242;Dropout;app
243;Fail;app
244;Pass;app
245;Pass;app
246;Fail;app
247;Dropout;app
248;Dropout;app
249;Pass;app
250;Dropout;app
251;Dropout;app
252;Fail;app
253;Fail;app
254;Dropout;app
255;Dropout;test
256;Pass;app
257;Pass;app
258;Fail;app
259;Pass;app
260;Fail;app
261;Pass;app
262;Pass;app
263;Pass;app
264;Pass;app
265;Pass;app
266;Pass;test
267;Pass;app
268;Dropout;app
269;Dropout;app
270;Pass;app
271;Pass;app
272;Pass;app
273;Fail;test
274;Pass;app
275;Pass;app
276;Pass;app
277;Pass;app
278;Pass;app
279;Pass;app
280;Dropout;app
281;Fail;app
282;Dropout;app
283;Pass;app
284;Fail;app
285;Dropout;app
286;Dropout;app
287;Pass;app
288;Fail;app
289;Pass;app
290;Dropout;app
291;Fail;app
292;Pass;app
293;Dropout;app
294;Fail;app
295;Pass;app
296;Pass;app
297;Dropout;app
298;Fail;app
299;Fail;app
300;Fail;app
301;Pass;app
302;Pass;app
303;Dropout;app
304;Pass;app
305;Dropout;app
306;Fail;test
307;Dropout;app
308;Pass;app
309;Dropout;app
310;Pass;app
311;Fail;app
312;Pass;app
313;Pass;app
314;Pass;app
315;Fail;app
316;Pass;app
317;Pass;test
318;Pass;app
319;Dropout;app
320;Pass;app
321;Dropout;app
322;Dropout;app
323;Dropout;app
324;Dropout;app
325;Fail;app
326;Dropout;app
327;Pass;test
328;Fail;app
329;Dropout;app
330;Dropout;test
331;Pass;app
332;Dropout;app
333;Fail;app
334;Dropout;app
335;Pass;app
336;Dropout;app
337;Fail;app
338;Dropout;app
339;Dropout;app
340;Pass;app
341;Pass;app
342;Dropout;app
343;Dropout;app
344;Pass;app
345;Pass;app
346;Fail;app
347;Pass;app
348;Fail;app
349;Dropout;app
350;Pass;app
351;Pass;app
352;Pass;app
353;Dropout;app
354;Fail;app
355;Dropout;test
356;Pass;app
357;Fail;app
358;Pass;app
359;Pass;app
360;Dropout;app
361;Pass;app
362;Dropout;app
363;Dropout;app
364;Dropout;app
365;Fail;app
366;Fail;app
367;Dropout;app
368;Pass;test
369;Dropout;app
370;Pass;app
371;Dropout;app
372;Pass;app
373;Dropout;app
374;Pass;app
375;Pass;app
376;Pass;app
377;Dropout;app
378;Dropout;app
379;Pass;app
380;Pass;app
381;Dropout;test
382;Pass;app
383;Pass;app
384;Pass;app
385;Pass;app
386;Dropout;app
387;Pass;app
388;Dropout;app
389;Fail;app
390;Dropout;app
391;Pass;app
392;Pass;app
393;Dropout;app
394;Fail;app
