code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result
1,998.26,115.87699999999998,54.108999999999995,10.4,68.89699999999999,10.4,10.4,10.4,27.146,50.805,10.4,79.55300000000001,47.192,37.167,31.211,10.4,10.4,10.4,111.37,45.642,60.063,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,119.74000000000001,Fail
2,629.75,67.602,7.8,129.733,73.62100000000001,108.57700000000001,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,132.717,Dropout
3,543.251,188.76600000000002,120.944,130.74300000000002,77.709,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,117.58500000000001,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Fail
4,441.687,64.80999999999999,84.694,10.4,34.622,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,146.133,Dropout
5,1385.064,135.019,103.786,164.297,93.42699999999999,133.051,10.4,106.85999999999999,128.958,145.824,107.83699999999999,68.04899999999999,200.94899999999998,151.117,117.962,10.4,10.4,10.4,201.647,149.002,138.511,59.684,47.961,87.805,45.255,10.4,10.4,33.742,107.94000000000001,272.11,Pass
6,2885.4219999999996,203.786,127.76400000000001,273.63199999999995,125.84300000000002,246.513,10.4,229.399,125.74,88.513,109.46600000000001,98.192,136.755,81.79500000000002,114.681,139.834,71.804,10.4,368.45399999999995,235.76299999999998,176.20600000000002,164.715,73.011,76.53,79.735,10.4,91.588,79.483,108.021,324.702,Pass
7,778.495,38.169,70.119,159.757,100.69800000000001,167.80200000000002,7.8,154.785,82.27900000000001,83.104,91.254,174.851,142.543,7.8,83.73899999999999,7.8,7.8,7.8,103.808,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,Fail
8,2370.6310000000003,246.82000000000005,188.75300000000001,291.383,123.84299999999999,266.549,7.8,199.058,73.564,20.634,84.489,239.091,89.861,117.023,74.24600000000001,56.376999999999995,55.835,7.8,400.222,177.422,163.78799999999998,126.27600000000001,63.577000000000005,105.28399999999999,62.742000000000004,7.8,48.141999999999996,7.8,49.512,102.39399999999999,Fail
9,4995.919999999999,248.472,215.24000000000004,312.94300000000004,143.82299999999998,164.113,10.4,185.18200000000002,228.85,166.979,219.943,134.464,244.156,346.36899999999997,121.203,42.684,43.659,10.4,285.00600000000003,78.492,98.67899999999999,10.4,42.391999999999996,228.07699999999997,79.038,10.4,50.179,34.592,49.501000000000005,296.483,Pass
10,149.66799999999998,59.233999999999995,53.559,10.4,23.372,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,99.793,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,137.017,Fail
