code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result,type
1,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,Fail,app
2,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,Dropout,app
3,PeuIntense,TIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,FaibleIntense,Fail,test
4,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,Dropout,test
5,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,TIntense,MoyIntense,MoyIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,TIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,Pass,test
6,TIntense,TIntense,MoyIntense,TIntense,MoyIntense,TIntense,MoyIntense,TIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,TIntense,MoyIntense,MoyIntense,TIntense,TIntense,TIntense,TIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,TIntense,MoyIntense,TIntense,Pass,app
7,PeuIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,MoyIntense,TIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,FaibleIntense,Fail,app
8,MoyIntense,TIntense,TIntense,TIntense,MoyIntense,TIntense,PeuIntense,TIntense,PeuIntense,PeuIntense,MoyIntense,TIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,MoyIntense,PeuIntense,TIntense,TIntense,MoyIntense,TIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,Fail,app
9,TIntense,TIntense,TIntense,TIntense,TIntense,MoyIntense,MoyIntense,MoyIntense,TIntense,MoyIntense,TIntense,MoyIntense,TIntense,TIntense,MoyIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,PeuIntense,TIntense,MoyIntense,MoyIntense,MoyIntense,PeuIntense,PeuIntense,MoyIntense,Pass,app
10,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,Fail,app
11,PeuIntense,FaibleIntense,PeuIntense,PeuIntense,FaibleIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,FaibleIntense,Dropout,app
12,TIntense,PeuIntense,PeuIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,TIntense,TIntense,TIntense,MoyIntense,MoyIntense,MoyIntense,MoyIntense,TIntense,TIntense,TIntense,MoyIntense,TIntense,MoyIntense,TIntense,TIntense,PeuIntense,MoyIntense,Pass,test
13,PeuIntense,PeuIntense,PeuIntense,FaibleIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,MoyIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,PeuIntense,Fail,test
