code_etudiant;reel
3;Fail
4;Dropout
5;Pass
12;Pass
13;Fail
25;Pass
40;Dropout
55;Pass
60;Pass
70;Dropout
72;Fail
85;Pass
106;Fail
113;Dropout
131;Pass
154;Fail
161;Dropout
172;Pass
209;Dropout
219;Pass
255;Dropout
266;Pass
273;Fail
306;Fail
317;Pass
327;Pass
330;Dropout
355;Dropout
368;Pass
381;Dropout
411;Fail
413;Pass
425;Dropout
456;Dropout
463;Fail
470;Pass
504;Dropout
510;Pass
532;Fail
544;Dropout
546;Pass
565;Dropout
578;Pass
598;Pass
602;Fail
604;Dropout
629;Fail
634;Pass
649;Dropout
659;Pass
679;Dropout
690;Fail
709;Pass
719;Dropout
727;Fail
729;Pass
761;Dropout
763;Pass
783;Dropout
788;Pass
793;Fail
818;Pass
827;Dropout
853;Dropout
855;Pass
885;Fail
894;Pass
904;Fail
907;Dropout
940;Dropout
946;Pass
963;Dropout
982;Pass
992;Dropout
994;Fail
996;Pass
1034;Pass
1048;Dropout
1055;Fail
1057;Pass
1063;Dropout
1074;Pass
1097;Pass
1102;Dropout
1121;Pass
1128;Dropout
1153;Pass
1174;Dropout
1185;Pass
1199;Dropout
1211;Pass
1222;Fail
1223;Dropout
1239;Pass
1248;Dropout
1268;Fail
1271;Dropout
1301;Pass
1308;Dropout
1314;Pass
1343;Dropout
1351;Pass
1368;Dropout
1387;Pass
1393;Dropout
1407;Fail
1422;Dropout
1431;Pass
1441;Pass
1451;Dropout
1469;Dropout
1474;Pass
1484;Pass
1485;Fail
1493;Pass
1513;Pass
1520;Dropout
1547;Dropout
1550;Pass
1554;Pass
1589;Dropout
1595;Pass
1600;Fail
1617;Dropout
1619;Pass
1662;Dropout
1663;Dropout
1665;Pass
1672;Pass
1691;Dropout
1698;Pass
1718;Dropout
1735;Dropout
1736;Pass
1742;Fail
1749;Pass
1766;Pass
1772;Dropout
1777;Pass
1779;Fail
1799;Pass
1802;Dropout
1808;Pass
1828;Dropout
1829;Pass
1843;Dropout
1846;Pass
1862;Pass
1876;Dropout
1890;Pass
1893;Dropout
1911;Pass
1918;Fail
1934;Dropout
1937;Pass
1940;Fail
1960;Dropout
1967;Pass
1979;Dropout
1983;Pass
2009;Pass
2016;Fail
2018;Pass
2024;Dropout
2032;Pass
2043;Pass
2055;Pass
2057;Dropout
2064;Pass
2073;Dropout
2093;Pass
2104;Fail
2109;Pass
2116;Pass
2118;Dropout
2140;Dropout
2147;Fail
2149;Pass
2160;Pass
2172;Pass
2175;Dropout
2184;Pass
2198;Pass
2214;Pass
2215;Fail
2225;Dropout
2230;Pass
2248;Pass
2266;Dropout
2275;Pass
2293;Pass
2301;Fail
2305;Dropout
2321;Pass
2343;Pass
2346;Fail
2351;Pass
2354;Dropout
2364;Pass
2365;Dropout
