code_etudiant,result
3,1
4,2
5,0
12,0
13,1
25,0
40,2
55,0
60,0
70,2
72,1
85,0
106,1
113,2
131,0
154,1
161,2
172,0
209,2
219,0
255,2
266,0
273,1
306,1
317,0
327,0
330,2
355,2
368,0
381,2
411,1
413,0
425,2
456,2
463,1
470,0
504,2
510,0
532,1
544,2
546,0
565,2
578,0
598,0
602,1
604,2
629,1
634,0
649,2
659,0
679,2
690,1
709,0
719,2
727,1
729,0
761,2
763,0
783,2
788,0
793,1
818,0
827,2
853,2
855,0
885,1
894,0
904,1
907,2
940,2
946,0
963,2
982,0
992,2
994,1
996,0
1034,0
1048,2
1055,1
1057,0
1063,2
1074,0
1097,0
1102,2
1121,0
1128,2
1153,0
1174,2
1185,0
1199,2
1211,0
1222,1
1223,2
1239,0
1248,2
1268,1
1271,2
1301,0
1308,2
1314,0
1343,2
1351,0
1368,2
1387,0
1393,2
1407,1
1422,2
1431,0
1441,0
1451,2
1469,2
1474,0
1484,0
1485,1
1493,0
1513,0
1520,2
1547,2
1550,0
1554,0
1589,2
1595,0
1600,1
1617,2
1619,0
1662,2
1663,2
1665,0
1672,0
1691,2
1698,0
1718,2
1735,2
1736,0
1742,1
1749,0
1766,0
1772,2
1777,0
1779,1
1799,0
1802,2
1808,0
1828,2
1829,0
1843,2
1846,0
1862,0
1876,2
1890,0
1893,2
1911,0
1918,1
1934,2
1937,0
1940,1
1960,2
1967,0
1979,2
1983,0
2009,0
2016,1
2018,0
2024,2
2032,0
2043,0
2055,0
2057,2
2064,0
2073,2
2093,0
2104,1
2109,0
2116,0
2118,2
2140,2
2147,1
2149,0
2160,0
2172,0
2175,2
2184,0
2198,0
2214,0
2215,1
2225,2
2230,0
2248,0
2266,2
2275,0
2293,0
2301,1
2305,2
2321,0
2343,0
2346,1
2351,0
2354,2
2364,0
2365,2
