code_etudiant;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
1;712.9660000000001;13.959999999999999;11.299999999999999;8.64;116.488;8.64;8.64;8.64;92.462;12.63;8.64;13.959999999999999;9.969999999999999;9.969999999999999;115.045;8.64;8.64;8.64;23.270000000000003;9.969999999999999;151.666;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;223.11200000000002
2;211.606;18.28;12.959999999999999;31.58;92.75200000000001;28.849999999999998;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;14.29
3;246.718;35.57000000000001;24.93;28.92;124.206;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;18.28;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999
4;169.21400000000003;22.27;26.259999999999998;12.959999999999999;128.82999999999998;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;15.62
5;989.0319999999999;24.6;19.28;23.270000000000003;133.966;30.326;8.64;15.29;156.544;27.259999999999998;48.568;13.959999999999999;33.91;19.28;163.561;8.64;8.64;8.64;45.88;30.942;206.86400000000003;11.299999999999999;13.959999999999999;15.29;11.299999999999999;8.64;8.64;9.969999999999999;13.959999999999999;250.373
6;2178.0739999999996;48.870000000000005;28.92;38.230000000000004;131.329;47.162000000000006;12.959999999999999;32.91;153.85000000000002;30.25;16.95;24.93;27.590000000000003;19.61;157.303;35.57000000000001;22.27;12.959999999999999;70.15;41.366;203.10699999999997;28.92;19.61;16.95;15.62;12.959999999999999;19.61;19.61;18.28;222.813
7;473.644;16.95;15.62;26.259999999999998;122.435;26.259999999999998;12.959999999999999;24.93;126.46699999999998;23.6;18.28;30.25;28.92;12.959999999999999;162.10999999999999;12.959999999999999;12.959999999999999;12.959999999999999;15.62;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999
8;1363.7;55.19;28.59;32.58;100.283;25.622;8.64;19.28;120.84;11.299999999999999;15.29;29.919999999999998;12.63;13.959999999999999;133.27100000000002;16.62;15.29;8.64;63.17;42.604;156.726;15.29;13.959999999999999;11.299999999999999;9.969999999999999;8.64;9.969999999999999;8.64;11.299999999999999;207.063
9;2684.0480000000002;64.83;44.879999999999995;47.54;121.13499999999999;23.6;12.959999999999999;28.92;154.306;43.55;79.418;22.27;47.54;44.879999999999995;147.56;15.62;15.62;12.959999999999999;39.56;18.28;138.684;12.959999999999999;14.29;38.230000000000004;18.28;12.959999999999999;16.95;14.29;15.62;242.28999999999996
10;30.919999999999998;6.9799999999999995;6.9799999999999995;4.32;67.91199999999999;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;6.9799999999999995;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;5.6499999999999995
11;9.969999999999999;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64
12;1774.782;17.95;17.95;25.93;127.22200000000001;32.986000000000004;8.64;21.939999999999998;159.422;36.57;67.35600000000001;28.59;28.59;35.239999999999995;183.969;36.57;11.299999999999999;8.64;35.239999999999995;37.284;237.06099999999998;21.939999999999998;25.93;21.632;35.646;8.64;29.919999999999998;19.28;11.299999999999999;251.37599999999998
13;643.974;11.299999999999999;8.64;8.64;113.511;8.64;8.64;8.64;103.51299999999999;9.969999999999999;8.64;13.959999999999999;11.299999999999999;9.969999999999999;156.708;9.969999999999999;8.64;8.64;8.64;8.64;175.16000000000003;8.64;8.64;9.969999999999999;8.64;8.64;8.64;8.64;8.64;9.969999999999999
14;1486.194;19.61;28.92;31.58;137.865;28.612;12.959999999999999;27.590000000000003;180.70499999999998;31.58;73.93;43.55;42.22;32.91;187.447;44.879999999999995;28.92;12.959999999999999;148.61999999999998;55.926;232.44;30.25;34.239999999999995;29.942;43.410000000000004;12.959999999999999;24.93;26.259999999999998;33.931999999999995;276.711
15;44.22;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;4.32;5.6499999999999995
16;202.82;20.61;8.64;11.299999999999999;98.153;8.64;8.64;8.64;90.966;11.299999999999999;8.64;8.64;8.64;8.64;116.52600000000001;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;9.969999999999999
17;1114.732;34.239999999999995;36.9;35.57000000000001;118.20500000000001;45.048;12.959999999999999;38.230000000000004;179.702;48.870000000000005;57.662000000000006;40.89;43.55;36.9;183.197;50.2;32.91;12.959999999999999;51.53;51.151999999999994;221.75300000000001;26.259999999999998;35.57000000000001;35.262;46.616;12.959999999999999;42.22;38.230000000000004;43.242000000000004;305.072
18;9.969999999999999;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64
19;153.94;12.959999999999999;22.27;15.62;114.552;15.62;12.959999999999999;14.29;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;18.28;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;14.29
20;190.20600000000002;12.63;12.63;9.969999999999999;88.80100000000002;22.962;8.64;9.969999999999999;126.036;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;11.299999999999999
21;1535.34;44.550000000000004;36.57;29.919999999999998;120.8;21.939999999999998;8.64;17.95;122.564;17.95;17.95;44.550000000000004;24.6;33.91;153.59;45.88;21.939999999999998;8.64;61.839999999999996;27.735999999999997;177.332;11.299999999999999;20.61;15.29;11.299999999999999;8.64;15.29;12.63;16.62;262.289
22;897.158;30.25;28.92;19.61;136.857;18.28;12.959999999999999;16.95;138.435;19.61;20.94;23.6;15.62;24.93;162.031;15.62;15.62;12.959999999999999;38.230000000000004;15.62;203.915;15.62;15.62;15.62;14.29;12.959999999999999;14.29;15.62;19.61;239.00799999999998
23;1678.9660000000001;51.199999999999996;48.54;37.900000000000006;135.57600000000002;51.06;8.64;39.23;174.78500000000003;49.87;77.99600000000001;57.849999999999994;47.209999999999994;47.209999999999994;192.90500000000003;43.22;33.91;8.64;112.38;69.37199999999999;245.91899999999998;40.56;21.939999999999998;24.6;29.304;8.64;23.270000000000003;20.61;51.914;253.657
24;812.9699999999999;31.91;25.26;22.599999999999998;150.16;30.272;17.28;21.27;155.723;22.599999999999998;22.599999999999998;25.26;22.599999999999998;21.27;166.034;22.599999999999998;18.61;17.28;34.57;21.27;189.843;19.939999999999998;18.61;19.939999999999998;18.61;17.28;19.939999999999998;18.61;23.93;254.44099999999997
25;688.67;12.959999999999999;18.28;20.94;107.14899999999999;12.959999999999999;12.959999999999999;15.62;139.06900000000002;12.959999999999999;12.959999999999999;15.62;15.62;14.29;162.197;14.29;12.959999999999999;12.959999999999999;14.29;12.959999999999999;179.792;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999
26;1221.356;30.25;12.959999999999999;30.25;145.892;35.192;12.959999999999999;27.590000000000003;154.43200000000002;12.959999999999999;12.959999999999999;12.959999999999999;28.92;27.590000000000003;184.413;12.959999999999999;12.959999999999999;12.959999999999999;62.169999999999995;25.168;192.371;12.959999999999999;12.959999999999999;15.62;15.62;12.959999999999999;16.95;12.959999999999999;15.62;251.50799999999998
27;3529.4660000000003;16.95;22.27;24.93;141.954;15.62;12.959999999999999;16.95;148.473;15.62;18.28;22.27;22.27;18.28;165.49599999999998;12.959999999999999;16.95;12.959999999999999;27.590000000000003;15.62;128.242;14.29;12.959999999999999;16.95;15.62;12.959999999999999;15.62;12.959999999999999;18.28;23.6
28;9.969999999999999;8.64;8.64;8.64;88.085;8.64;8.64;8.64;81.071;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64
29;1737.97;23.6;28.92;43.55;134.25400000000002;49.275999999999996;12.959999999999999;35.57000000000001;175.764;84.78;89.442;74.13999999999999;52.86;47.54;199.204;60.84;52.86;12.959999999999999;100.74000000000001;59.91600000000001;239.07899999999998;47.54;67.49;36.354;50.60600000000001;12.959999999999999;38.230000000000004;46.21;53.882000000000005;305.701
30;127.00999999999999;9.969999999999999;11.299999999999999;8.64;78.81;8.64;8.64;8.64;9.969999999999999;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64
31;2605.808;37.900000000000006;32.58;43.22;146.206;45.263999999999996;8.64;39.23;192.023;39.23;54.574;51.199999999999996;51.199999999999996;36.57;190.676;27.259999999999998;21.939999999999998;8.64;79.13;59.04;235.201;29.919999999999998;40.56;29.611999999999995;51.297999999999995;8.64;39.23;39.23;54.266000000000005;304.207
32;950.378;25.93;19.28;12.63;112.555;9.969999999999999;8.64;11.299999999999999;158.669;9.969999999999999;12.63;13.959999999999999;17.95;15.29;149.85000000000002;9.969999999999999;17.95;8.64;16.62;9.969999999999999;188.21699999999998;9.969999999999999;11.299999999999999;9.969999999999999;9.969999999999999;8.64;13.959999999999999;12.63;15.29;16.62
33;111.38;38.230000000000004;24.93;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;15.62
34;462.1;24.6;17.95;23.270000000000003;115.53200000000001;24.292;8.64;20.61;25.93;20.61;9.969999999999999;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;9.969999999999999
35;761.1540000000001;24.6;29.919999999999998;16.62;100.766;29.611999999999995;8.64;21.939999999999998;116.27799999999999;19.28;16.62;21.939999999999998;16.62;13.959999999999999;126.52699999999999;8.64;8.64;8.64;12.63;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;11.299999999999999
36;180.616;13.959999999999999;15.29;8.64;135.83100000000002;8.64;8.64;8.64;90.966;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;11.299999999999999;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;9.969999999999999
37;302.592;32.91;16.95;12.959999999999999;113.53899999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;15.62;12.959999999999999;12.959999999999999;14.29;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;14.29;14.29
38;1484.94;40.56;25.93;25.93;146.887;38.306;8.64;27.259999999999998;179.73600000000002;63.17;86.214;48.54;39.23;33.91;178.394;44.550000000000004;25.93;8.64;33.91;42.604;234.28699999999998;23.270000000000003;25.93;21.939999999999998;13.959999999999999;8.64;28.59;19.28;27.259999999999998;269.476
39;9.969999999999999;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64
40;255.012;11.299999999999999;8.64;23.270000000000003;99.753;17.642;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64
41;1082.462;16.95;19.61;24.93;136.166;33.931999999999995;12.959999999999999;32.91;165.66400000000002;28.92;56.331999999999994;28.92;30.25;27.590000000000003;161.927;24.93;15.62;12.959999999999999;40.89;27.282;215.889;16.95;19.61;20.94;20.94;12.959999999999999;14.29;12.959999999999999;18.28;216.589
42;485.594;26.589999999999996;22.599999999999998;18.61;118.114;18.61;17.28;18.61;120.009;19.939999999999998;19.939999999999998;19.939999999999998;18.61;22.599999999999998;163.85199999999998;17.28;17.28;17.28;27.919999999999998;18.61;203.834;18.61;17.28;18.61;17.28;17.28;17.28;17.28;17.28;234.615
43;97.75;8.64;8.64;8.64;102.113;8.64;8.64;8.64;106.78899999999999;8.64;8.64;11.299999999999999;13.959999999999999;9.969999999999999;166.751;8.64;8.64;8.64;8.64;8.64;186.414;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64
44;893.952;31.58;26.259999999999998;16.95;147.97500000000002;16.95;12.959999999999999;16.95;132.00799999999998;20.94;16.95;19.61;14.29;14.29;155.82199999999997;12.959999999999999;12.959999999999999;12.959999999999999;32.91;16.95;16.95;12.959999999999999;16.95;14.29;14.29;12.959999999999999;14.29;14.29;15.62;220.864
45;9.969999999999999;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64
46;503.33799999999997;20.94;18.28;23.6;120.64200000000001;29.942;12.959999999999999;24.93;133.707;19.61;19.61;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;15.62
47;579.078;60.84;44.879999999999995;28.92;154.19400000000002;37.922;12.959999999999999;20.94;166.07999999999998;19.61;74.09800000000001;31.58;24.93;14.29;16.95;12.959999999999999;12.959999999999999;12.959999999999999;15.62;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;16.95
48;58.017999999999994;15.29;8.64;11.299999999999999;104.451;8.64;8.64;8.64;109.12699999999998;8.64;8.64;8.64;11.299999999999999;8.64;109.12699999999998;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64;8.64
49;1110.6779999999999;21.939999999999998;21.939999999999998;9.969999999999999;123.50699999999999;21.632;8.64;21.939999999999998;156.435;8.64;16.62;12.63;13.959999999999999;15.29;166.26299999999998;8.64;11.299999999999999;8.64;29.919999999999998;8.64;199.87;11.299999999999999;11.299999999999999;11.299999999999999;8.64;8.64;12.63;8.64;17.95;215.417
50;1197.1499999999999;32.91;28.92;27.590000000000003;132.924;44.739999999999995;12.959999999999999;30.25;149.06500000000003;18.28;20.94;16.95;28.92;22.27;178.40200000000002;16.95;15.62;12.959999999999999;40.89;23.6;206.77799999999996;15.62;15.62;15.62;16.95;12.959999999999999;18.28;15.62;20.94;266.341
51;1302.17;32.58;27.259999999999998;35.239999999999995;133.82;39.09;8.64;15.29;124.56;13.959999999999999;17.404;12.63;32.58;13.959999999999999;162.226;21.939999999999998;8.64;8.64;45.88;43.626;211.47799999999998;19.28;25.93;24.292;8.64;8.64;8.64;8.64;8.64;239.478
52;100.43200000000002;12.959999999999999;23.6;19.61;126.00200000000001;15.62;12.959999999999999;12.959999999999999;131.68599999999998;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;16.95;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;14.29
53;1258.9260000000002;31.91;25.26;35.9;140.85999999999999;36.922;17.28;33.24;181.404;47.87;88.91799999999999;33.24;33.24;30.58;187.398;41.22;30.58;17.28;49.2;50.69799999999999;228.957;26.589999999999996;22.599999999999998;26.589999999999996;37.944;17.28;23.93;29.25;30.58;260.135
54;1077.106;8.64;8.64;8.64;101.67;8.64;8.64;11.299999999999999;108.464;11.299999999999999;11.299999999999999;13.959999999999999;9.969999999999999;13.959999999999999;157.447;9.969999999999999;11.299999999999999;8.64;27.259999999999998;8.64;189.29000000000002;8.64;11.299999999999999;9.969999999999999;12.63;8.64;13.959999999999999;11.299999999999999;16.62;214.18599999999998
55;1077.2959999999998;24.93;20.94;32.91;151.232;32.602000000000004;12.959999999999999;18.28;173.04199999999997;16.95;18.28;22.27;28.92;27.590000000000003;170.452;12.959999999999999;12.959999999999999;12.959999999999999;39.56;19.61;147.87;18.28;15.62;23.6;38.944;12.959999999999999;12.959999999999999;12.959999999999999;22.27;16.95
56;120.10199999999999;18.28;15.62;12.959999999999999;135.20499999999998;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;15.62
57;1857.216;26.589999999999996;43.879999999999995;47.87;122.54499999999999;33.24;17.28;38.56;160.959;35.9;38.49;35.9;29.25;38.56;160.511;39.89;18.61;17.28;42.55;23.93;231.182;22.599999999999998;21.27;29.25;19.939999999999998;17.28;33.24;25.26;29.25;276.058
58;844.846;33.91;17.95;16.62;123.824;13.959999999999999;8.64;13.959999999999999;171.429;35.239999999999995;16.62;31.25;20.61;20.61;182.379;31.25;19.28;8.64;39.23;26.406;205.787;21.939999999999998;23.270000000000003;26.168;17.95;8.64;23.270000000000003;29.919999999999998;26.714;286.756
59;595.99;12.959999999999999;12.959999999999999;20.94;108.771;15.62;12.959999999999999;14.29;12.959999999999999;12.959999999999999;15.62;12.959999999999999;22.27;20.94;164.53;12.959999999999999;12.959999999999999;12.959999999999999;30.25;12.959999999999999;101.194;12.959999999999999;12.959999999999999;14.29;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;15.62;211.143
60;1261.934;25.93;37.900000000000006;25.93;122.49899999999998;34.316;8.64;32.58;172.031;49.87;83.792;39.23;28.59;24.6;171.905;35.239999999999995;24.6;8.64;49.87;29.611999999999995;230.614;15.29;23.270000000000003;20.61;26.644;8.64;21.939999999999998;29.919999999999998;34.932;280.59400000000005
61;845.092;16.95;19.61;26.259999999999998;113.25900000000001;25.952;12.959999999999999;23.6;138.42999999999998;23.6;62.67400000000001;36.9;22.27;30.25;161.766;12.959999999999999;12.959999999999999;12.959999999999999;67.49;26.497999999999998;217.203;23.6;14.29;26.497999999999998;29.634;12.959999999999999;15.62;12.959999999999999;20.94;237.76
62;1983.8439999999998;39.23;35.239999999999995;45.88;139.55599999999998;47.07000000000001;8.64;29.919999999999998;178.401;23.270000000000003;74.174;27.259999999999998;29.919999999999998;23.270000000000003;181.896;17.95;12.63;8.64;39.23;15.29;12.63;12.63;12.63;16.62;12.63;8.64;16.62;12.63;22.724000000000004;44.550000000000004
63;175.598;24.93;30.25;19.61;129.474;26.259999999999998;12.959999999999999;16.95;111.97399999999999;16.95;15.62;15.62;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;15.62;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999;12.959999999999999
64;1334.7979999999998;44.879999999999995;26.259999999999998;32.91;138.826;26.259999999999998;12.959999999999999;18.28;166.03300000000002;18.28;15.62;23.6;18.28;18.28;172.973;18.28;14.29;12.959999999999999;23.6;14.29;207.73399999999998;15.62;16.95;14.29;14.29;12.959999999999999;16.95;15.62;15.62;19.61
