code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result,type
1,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Fail,app
2,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Moyen,Moyen,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Dropout,app
3,Mediocre,Moyen,Moyen,Moyen,Moyen,Mediocre,Moyen,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Fail,test
4,Mediocre,Mediocre,Moyen,Mediocre,Moyen,Mediocre,Moyen,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Dropout,test
5,Moyen,Moyen,Mediocre,Moyen,Moyen,Moyen,Mediocre,Mediocre,Moyen,Moyen,Moyen,Mediocre,TBien,Moyen,Moyen,Mediocre,Mediocre,Mediocre,Moyen,Moyen,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,TBien,Pass,test
6,TBien,TBien,Moyen,TBien,Moyen,TBien,Moyen,TBien,Moyen,Moyen,Mediocre,Moyen,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,TBien,TBien,Moyen,TBien,Moyen,Moyen,Mediocre,Moyen,Moyen,Moyen,Moyen,Moyen,Pass,app
7,Mediocre,Mediocre,Mediocre,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,Mediocre,Moyen,Moyen,Mediocre,Moyen,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Fail,app
8,Moyen,TBien,Moyen,Moyen,Moyen,Moyen,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,TBien,TBien,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Fail,app
9,TBien,TBien,TBien,TBien,Moyen,Mediocre,Moyen,Moyen,Moyen,TBien,TBien,Moyen,TBien,TBien,Moyen,Mediocre,Moyen,Moyen,Moyen,Mediocre,Moyen,Mediocre,Mediocre,TBien,Moyen,Moyen,Moyen,Mediocre,Mediocre,Moyen,Pass,app
10,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Faible,Mediocre,Faible,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Fail,app
11,Faible,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Faible,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Dropout,app
12,TBien,Mediocre,Mediocre,Moyen,Moyen,Moyen,Mediocre,Moyen,Moyen,Moyen,TBien,Moyen,Moyen,TBien,TBien,TBien,Mediocre,Mediocre,Moyen,TBien,TBien,Moyen,TBien,Moyen,TBien,Mediocre,TBien,Moyen,Mediocre,TBien,Pass,test
13,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Moyen,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Mediocre,Fail,test
14,Moyen,Mediocre,Moyen,Moyen,Moyen,Moyen,Moyen,Moyen,TBien,Moyen,TBien,TBien,TBien,TBien,TBien,TBien,TBien,Moyen,TBien,TBien,TBien,TBien,TBien,TBien,TBien,Moyen,TBien,TBien,TBien,TBien,Pass,app
