code_etudiant;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
1;1032.474;121.14999999999998;62.51299999999999;20.02;144.779;20.02;20.02;20.02;84.734;59.438;20.02;87.834;56.233999999999995;46.12499999999999;98.803;20.02;20.02;20.02;105.667;54.275999999999996;143.913;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;239.654
2;629.6639999999999;77.121;19.305;135.883;132.476;118.357;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;140.704
3;553.944;197.678;130.65;137.625;158.62699999999998;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;125.73700000000001;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88
4;448.48199999999997;75.18599999999999;93.447;22.88;120.42599999999999;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;154.69299999999998
5;1418.472;141.28799999999998;111.57099999999998;170.49;179.45899999999997;140.98;20.02;114.73999999999998;219.626;153.101;115.755;75.98499999999999;205.98499999999999;158.19400000000002;212.349;20.02;20.02;20.02;202.18699999999998;157.10899999999998;258.363;68.58;55.381;96.353;54.25899999999999;20.02;20.02;42.711999999999996;116.58999999999997;406.09799999999996
6;2914.9249999999993;206.748;135.588;283.37;206.862;258.10499999999996;22.88;240.214;214.99;98.79499999999999;117.72299999999998;108.40199999999999;148.066;93.106;203.64399999999998;150.623;82.588;22.88;363.10699999999997;246.652;282.38199999999995;175.13799999999998;84.16799999999999;87.735;90.6;22.88;102.606;89.63399999999999;118.815;436.80199999999996
7;801.411;47.668;79.43299999999999;169.22899999999998;178.248;177.43599999999998;19.305;164.442;166.44599999999997;92.67999999999999;100.44899999999998;183.599;150.447;19.305;182.082;19.305;19.305;19.305;112.51799999999999;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305
8;2361.462;247.39899999999997;194.105;292.512;183.16299999999998;275.168;16.445;206.819;145.785;28.963;91.90299999999999;245.38099999999997;96.971;123.887;151.33499999999998;63.846;63.282;16.445;391.6429999999999;184.726;244.67000000000002;133.63899999999998;70.107;113.39699999999999;70.833;16.445;55.657;16.445;57.13799999999999;213.05499999999998
9;5070.862999999999;245.86599999999999;222.34699999999998;323.176;217.86399999999998;176.613;22.88;194.178;303.78599999999994;177.38;230.70099999999996;144.202;252.14100000000002;358.109;201.486;54.44;55.330999999999996;22.88;288.828;89.578;170.576;22.88;54.00599999999999;238.24899999999997;90.025;22.88;61.584;46.397999999999996;60.861;415.9959999999999
10;155.51600000000002;64.718;59.175;17.16;68.27199999999999;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;103.431;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;140.211
11;62.77499999999999;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02
12;3277.0209999999997;96.213;100.60399999999998;160.43;168.42199999999997;168.573;20.02;142.34999999999997;232.342;139.671;151.473;147.767;155.596;206.411;265.077;151.28199999999998;69.947;20.02;242.32999999999993;142.81199999999998;296.556;135.69199999999998;129.77499999999998;118.33999999999999;139.084;20.02;148.39299999999997;90.895;72.75699999999999;349.65999999999997
13;551.824;58.047;16.445;16.445;149.20799999999997;16.445;16.445;16.445;90.93599999999999;48.919;16.445;91.508;44.509;62.659;131.113;61.441;16.445;16.445;16.445;16.445;140.141;16.445;16.445;37.16;16.445;16.445;16.445;16.445;16.445;47.506
14;2692.3259999999996;83.853;139.21999999999997;187.10899999999998;175.511;197.752;19.305;190.367;294.91299999999995;154.154;284.39799999999997;202.036;224.27099999999996;225.195;299.573;254.76699999999997;185.762;19.305;565.013;306.76099999999997;324.813;173.62699999999998;117.531;177.634;176.348;19.305;98.588;89.12299999999999;188.86499999999998;319.457
15;174.31799999999996;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;17.16;154.18800000000002
16;627.404;133.76;16.445;61.82899999999999;91.16;16.445;16.445;16.445;80.719;65.07;16.445;16.445;16.445;16.445;97.23899999999999;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;151.06
17;1841.487;159.942;187.61499999999998;286.59799999999996;188.93399999999997;335.001;22.88;292.012;353.412;319.464;167.975;265.82399999999996;318.68199999999996;336.50399999999996;364.90099999999995;251.515;180.30599999999998;22.88;309.758;245.387;339.06999999999994;219.74999999999997;193.78199999999998;272.99899999999997;226.702;22.88;238.86;203.346;219.29;689.21
18;62.77499999999999;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02
19;472.42999999999995;22.88;85.446;72.267;151.791;77.17399999999999;22.88;68.461;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;118.27;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;132.063
20;326.50199999999995;70.257;70.893;72.731;86.583;109.874;20.02;83.295;114.86399999999998;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;147.89299999999997
21;2602.586;232.35399999999998;270.191;188.70099999999996;188.887;220.02099999999996;16.445;153.24099999999999;350.455;160.857;119.04899999999999;315.691;197.259;267.71799999999996;281.56699999999995;320.836;137.28799999999998;16.445;429.101;197.201;307.762;86.125;114.48599999999999;105.84299999999999;81.25199999999998;16.445;62.876999999999995;51.19;145.444;512.574
22;1153.7069999999999;199.25;195.76100000000002;124.25299999999999;181.409;106.86599999999999;22.88;122.33500000000001;196.051;149.45499999999998;111.48999999999998;138.41500000000002;106.571;126.803;166.70999999999998;65.31899999999999;69.137;22.88;154.64299999999997;66.27499999999999;212.99499999999998;74.048;75.948;71.839;61.26599999999999;22.88;69.048;82.403;142.805;222.37599999999998
23;2975.005;201.34999999999997;275.199;259.687;233.30499999999998;265.842;16.445;276.17199999999997;280.143;207.62599999999998;234.48799999999997;277.79999999999995;250.986;257.388;320.05799999999994;276.955;178.16899999999998;16.445;458.897;255.373;373.69399999999996;218.34499999999997;93.246;145.757;123.56800000000001;16.445;89.221;85.658;243.22400000000002;441.521
24;1535.129;177.24200000000002;204.45799999999997;162.46299999999997;222.661;254.459;22.165;126.184;214.30399999999997;106.862;74.74499999999999;103.83899999999998;120.497;96.076;163.399;113.45499999999998;22.772999999999996;22.165;272.957;73.614;185.85299999999998;69.227;51.119;48.89399999999999;43.075;22.165;65.567;57.574;128.714;435.687
25;745.57;22.88;116.61399999999999;149.127;101.67099999999999;22.88;22.88;32.093999999999994;125.463;22.88;22.88;65.417;89.00099999999999;48.571999999999996;138.567;59.354;22.88;22.88;109.58699999999999;22.88;147.56799999999998;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88;22.88
26;1341.6779999999999;130.296;22.88;202.058;211.336;159.60199999999998;22.88;191.252;212.46299999999997;22.88;22.88;22.88;170.498;172.825;260.44;22.88;22.88;22.88;260.03599999999994;138.977;221.861;22.88;22.88;111.46499999999999;70.30699999999999;22.88;97.68699999999998;22.88;95.54999999999998;301.00399999999996
27;2436.774;66.818;133.99899999999997;146.795;191.578;136.398;22.88;153.91899999999998;111.70299999999999;56.461;99.15;120.26299999999998;133.673;100.594;211.95499999999998;22.88;109.469;22.88;122.035;59.81399999999999;137.291;56.44199999999999;22.88;59.99199999999999;56.998999999999995;22.88;45.135999999999996;22.88;78.923;196.504
28;62.23499999999999;20.02;20.02;20.02;89.33099999999999;20.02;20.02;20.02;83.21699999999998;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02
29;3026.4539999999997;148.474;198.611;315.78999999999996;219.397;363.3879999999999;19.305;321.77;374.30499999999995;378.4;296.58299999999997;321.903;327.307;267.35699999999997;345.337;255.85899999999995;297.024;19.305;580.43;401.3299999999999;510.461;341.75399999999996;322.86199999999997;256.946;298.853;19.305;188.16199999999998;187.78299999999996;430.072;588.333
30;341.90099999999995;60.05799999999999;74.69099999999999;20.02;78.01799999999999;20.02;20.02;20.02;69.97;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02
31;3770.4649999999997;197.47;207.81599999999997;233.82;228.05099999999996;379.202;20.02;318.269;385.33099999999996;191.802;218.33399999999997;243.96299999999997;273.376;212.41799999999998;312.23699999999997;152.23199999999997;156.765;20.02;543.3749999999999;247.53199999999998;405.135;233.688;195.6;179.14399999999998;256.212;20.02;338.77700000000004;182.22599999999997;303.484;601.2019999999999
32;1351.3319999999999;142.304;126.90099999999998;-17.094;184.28699999999998;-17.650999999999996;20.02;107.30099999999999;152.016;5.913;20.714;102.119;121.163;94.428;185.486;52.385;104.584;20.02;169.875;62.949;230.805;29.604999999999997;36.95099999999999;41.974;45.864999999999995;20.02;62.85399999999999;50.00399999999999;90.091;69.437
33;274.499;118.24000000000001;98.03999999999999;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;153.19600000000003
34;978.452;124.105;97.43799999999999;199.102;161.278;152.725;16.445;144.254;126.932;96.577;56.48299999999999;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;16.445;154.05999999999997
35;1219.6399999999999;162.313;231.13299999999998;141.448;152.49499999999998;157.31;20.02;133.986;227.41;118.039;88.57199999999999;123.89699999999999;114.792;109.642;152.941;20.02;20.02;20.02;101.312;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;152.45199999999997
36;458.721;83.54699999999998;81.06;20.02;170.712;20.02;20.02;20.02;84.29399999999998;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;117.83999999999997;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;20.02;157.98299999999998
37;800.199;124.382;64.25299999999999;19.305;102.226;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;19.305;114.66199999999998;19.305;19.305;73.38499999999999;19.305;19.305;19.305;19.305;19.305;19.305;93.62199999999999;96.51299999999999
