code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result,type
1,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,Fail,app
2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Dropout,app
3,2,5,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,0,Fail,test
4,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,Dropout,test
5,3,3,3,3,3,3,2,3,3,3,3,2,5,3,3,2,2,2,3,5,3,3,2,3,2,2,2,2,3,3,Pass,test
6,5,5,3,5,3,5,3,5,3,3,3,3,3,3,3,5,3,3,5,5,5,5,3,3,3,3,3,3,3,5,Pass,app
7,2,2,2,3,3,3,2,3,2,2,3,5,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,Fail,app
8,3,5,5,5,3,5,2,5,2,2,3,5,2,3,3,2,3,2,5,5,3,5,3,3,3,2,2,2,2,2,Fail,app
9,5,5,5,5,5,3,3,3,5,3,5,3,5,5,3,2,3,3,3,3,3,2,2,5,3,3,3,2,2,3,Pass,app
10,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Fail,app
11,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,Dropout,app
12,5,2,2,3,3,3,2,3,3,3,3,3,3,5,5,5,3,2,3,3,5,5,5,3,5,2,5,5,2,3,Pass,test
13,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Fail,test
14,5,2,3,3,3,3,2,3,3,3,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,2,3,3,5,3,Pass,app
15,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Dropout,app
16,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Dropout,app
17,3,3,3,5,3,5,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,5,Pass,app
18,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,Dropout,app
19,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,Dropout,app
20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Dropout,app
21,5,5,5,3,3,3,2,3,5,3,3,5,5,5,5,5,5,2,5,5,5,3,5,3,3,2,3,3,3,5,Pass,app
22,2,5,5,2,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,Pass,app
23,5,5,5,5,5,5,2,5,3,5,5,5,5,5,5,5,5,2,5,5,5,5,3,5,5,2,3,3,5,5,Pass,app
24,3,3,5,3,5,5,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,2,2,2,3,3,3,3,5,Pass,app
25,2,2,3,3,2,2,3,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,3,2,2,2,0,Pass,test
26,3,3,2,3,3,3,3,3,3,2,2,2,3,3,5,2,2,3,3,3,3,2,2,3,3,3,3,2,3,3,Pass,app
27,3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,2,5,3,2,2,2,2,2,2,2,3,2,2,3,2,Pass,app
28,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,Fail,app
29,5,3,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,2,5,5,5,5,Pass,app
30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,Dropout,app
31,5,5,5,3,5,5,2,5,5,3,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,2,5,5,5,5,Pass,app
32,3,3,3,0,3,0,2,2,2,2,2,3,3,3,3,2,3,2,3,2,3,2,2,2,2,2,3,3,3,2,Pass,app
33,2,3,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Dropout,app
34,2,3,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Dropout,app
35,2,3,5,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Fail,app
36,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Dropout,app
37,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,Fail,app
38,5,3,3,3,3,3,2,3,5,5,5,5,5,5,5,5,5,2,3,5,5,5,5,3,3,2,5,3,3,5,Pass,app
39,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,Dropout,app
40,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,Dropout,test
41,3,2,3,3,3,5,3,5,5,3,3,3,3,3,5,3,2,3,3,3,5,3,3,5,3,3,2,2,3,2,Pass,app
42,2,3,3,2,3,2,5,2,2,2,2,2,2,2,3,2,2,5,2,2,3,2,2,2,2,5,2,2,2,3,Fail,app
43,2,0,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,0,Fail,app
44,3,3,3,2,5,2,3,2,2,3,2,3,0,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,Pass,app
45,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,Dropout,app
46,2,2,2,3,3,3,3,3,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,Dropout,app
47,2,5,5,5,5,3,3,3,3,2,5,3,3,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,Dropout,app
48,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,Fail,app
49,3,3,3,0,5,3,2,3,3,2,3,2,2,3,3,2,3,2,3,2,3,2,2,2,2,2,3,2,3,3,Pass,app
50,3,3,2,3,3,3,3,5,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,2,2,3,3,3,2,5,Pass,app
51,3,3,3,5,5,3,2,2,2,2,3,2,5,2,3,3,2,2,5,5,5,5,5,5,2,2,2,2,2,3,Fail,app
52,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,Dropout,app
53,3,3,3,3,3,3,3,3,3,3,5,3,5,5,5,3,5,3,3,5,5,5,3,5,5,3,3,5,5,3,Pass,app
54,2,0,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,3,3,3,2,Pass,app
55,3,3,2,3,3,3,3,3,3,2,3,3,3,3,5,2,2,3,3,3,3,3,2,3,5,3,2,2,5,2,Pass,test
56,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,Dropout,app
57,5,3,3,5,3,3,5,5,5,3,3,3,3,5,3,5,3,5,3,3,5,3,3,5,3,5,5,5,3,5,Pass,app
58,3,3,2,2,3,2,2,2,3,3,2,3,2,2,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,5,Pass,app
59,2,2,2,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2,2,3,2,2,3,2,Pass,app
60,3,3,5,3,3,3,2,5,5,5,5,5,5,5,5,5,5,2,5,5,5,3,5,5,5,2,5,5,5,5,Pass,test
61,2,2,2,3,3,3,3,3,2,2,3,5,3,3,3,2,2,3,3,5,5,5,3,5,5,3,3,2,3,3,Pass,app
62,5,3,3,5,5,5,2,5,3,3,5,3,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,5,3,Pass,app
63,2,2,3,2,3,3,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,0,Dropout,app
64,3,5,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,2,Pass,app
65,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Dropout,app
66,3,2,2,3,5,3,3,0,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,2,3,2,2,3,3,Pass,app
