code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result,type
1,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,Fail,app
2,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,Dropout,app
3,PeuPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Fail,test
4,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,Dropout,test
5,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,TPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,TPassionne,MoyPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,Pass,test
6,TPassionne,TPassionne,MoyPassionne,TPassionne,MoyPassionne,TPassionne,MoyPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,MoyPassionne,MoyPassionne,TPassionne,TPassionne,TPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,Pass,app
7,PeuPassionne,PeuPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,TPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,Fail,app
8,MoyPassionne,TPassionne,TPassionne,TPassionne,MoyPassionne,TPassionne,PeuPassionne,TPassionne,PeuPassionne,PeuPassionne,MoyPassionne,TPassionne,PeuPassionne,MoyPassionne,MoyPassionne,PeuPassionne,MoyPassionne,PeuPassionne,TPassionne,TPassionne,MoyPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,Fail,app
9,TPassionne,TPassionne,TPassionne,TPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,TPassionne,MoyPassionne,TPassionne,MoyPassionne,TPassionne,TPassionne,MoyPassionne,PeuPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,TPassionne,MoyPassionne,MoyPassionne,MoyPassionne,PeuPassionne,PeuPassionne,MoyPassionne,Pass,app
10,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,NonPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,PeuPassionne,Fail,app
