,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,Dropout,Dropout,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
1,Dropout,Dropout,Dropout,Dropout,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Dropout,Dropout,Fail,Dropout,Fail,Fail,Fail,Dropout,Fail,Dropout,Fail,Fail,Dropout,Dropout,Dropout
2,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
3,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
4,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Fail,Fail,Fail,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
5,Dropout,Dropout,Pass,Pass,Dropout,Dropout,Pass,Dropout,Fail,Fail,Fail,Fail,Dropout,Dropout,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Dropout,Dropout,Fail,Fail,Fail,Fail,Fail
6,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
7,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
8,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
9,Dropout,Dropout,Pass,Dropout,Dropout,Pass,Pass,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
10,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
11,Dropout,Dropout,Dropout,Dropout,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
12,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
13,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
14,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
15,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Dropout,Fail,Dropout,Dropout,Dropout,Fail,Fail,Fail,Dropout
16,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
17,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
18,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
19,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
20,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
21,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
22,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
23,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
24,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
25,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
26,Dropout,Dropout,Dropout,Dropout,Fail,Fail,Dropout,Dropout,Fail,Fail,Dropout,Dropout,Dropout,Dropout,Fail,Fail,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
27,Dropout,Dropout,Dropout,Dropout,Fail,Fail,Fail,Dropout,Fail,Dropout,Dropout,Dropout,Fail,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
28,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
29,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Fail,Fail,Fail,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
30,Dropout,Dropout,Dropout,Dropout,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
31,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail
32,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
33,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
