code_etudiant;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
1;114.312;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;28.944;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664
2;354.843;19.289;19.125;19.945;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125
3;226.93100000000004;25.828;25.664;26.32;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.828;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
4;112.839;25.664;25.992;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
5;692.74;25.828;25.664;26.156;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.5;26.156;25.828;25.5;25.5;25.5;25.5;27.632;25.5;25.5;25.5;25.828;25.5;25.5;25.5;25.5;25.5;25.5;25.5
6;1175.786;27.468;25.992;25.828;25.5;25.5;25.5;25.5;25.5;25.664;25.828;25.5;25.5;25.5;25.664;25.664;25.5;25.5;29.436;25.5;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.5
7;388.69000000000005;19.453;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.289;19.617;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125
8;768.71;21.093;19.289;20.601;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.289;19.125;19.125;19.125;19.125;19.125;19.125;23.061;19.125;19.125;19.125;19.289;19.125;19.125;19.125;19.125;19.125;19.125;19.125
9;4362.045;29.436;26.484;26.156;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.5;26.648;25.828;25.5;25.5;25.5;25.5;27.304;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
10;40.400000000000006;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
11;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
12;3350.6730000000002;25.5;25.664;25.5;25.5;25.5;25.5;25.5;25.5;25.664;25.5;25.664;25.828;25.828;25.5;25.664;25.5;25.5;27.14;25.5;25.5;25.5;25.992;25.5;25.5;25.5;25.5;25.5;25.5;25.5
13;42.794;19.453;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125
14;1550.944;19.125;19.125;19.453;19.125;19.125;19.125;19.125;19.125;19.453;19.945;19.453;19.781;19.453;19.125;19.617;19.125;19.125;33.065;19.125;19.125;19.289;20.273;19.125;19.125;19.125;19.125;19.125;19.125;20.109
15;36.95;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
16;266.257;19.289;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125;19.125
17;348.56;25.5;25.5;25.828;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.664;26.32;25.828;25.5;25.5;25.5;25.5;27.96;25.5;25.5;25.664;26.32;25.5;25.5;25.5;25.5;25.5;25.5;26.156
18;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5;25.5
