code_etudiant,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,result,type
1,CollaborePeu,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreTB,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,Fail,app
2,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,Dropout,app
3,CollaborePeu,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,Fail,test
4,CollaborePeu,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,Dropout,test
5,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,Pass,test
6,CollaboreMoy,CollaboreTB,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreTB,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,Pass,app
7,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,Fail,app
8,CollaboreMoy,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,Fail,app
9,CollaboreTB,CollaboreTB,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,Pass,app
10,CollaborePeu,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,Fail,app
11,CollaborePeu,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,Dropout,app
12,CollaboreTB,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,CollaboreMoy,Pass,test
13,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,CollaborePeu,Fail,test
