;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
0;Fail;Fail;Fail;Fail;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
1;Fail;Fail;Fail;Fail;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
2;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass
3;Dropout;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass
4;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
5;Pass;Pass;Pass;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
6;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
7;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
8;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass
9;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass
10;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass
11;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
12;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass
13;Dropout;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
14;Pass;Fail;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
15;Dropout;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass
16;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
17;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass
18;Pass;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
