,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,Dropout,Pass,Dropout,Dropout,Dropout,Dropout,Fail,Pass,Fail,Dropout,Dropout,Pass,Pass,Pass,Dropout,Dropout,Dropout,Dropout,Dropout,Pass,Pass,Pass,Pass,Pass,Pass,Dropout,Dropout,Pass,Dropout
1,Dropout,Pass,Dropout,Dropout,Dropout,Dropout,Fail,Pass,Fail,Fail,Dropout,Pass,Pass,Pass,Dropout,Dropout,Dropout,Dropout,Dropout,Pass,Pass,Pass,Pass,Pass,Pass,Dropout,Dropout,Pass,Dropout
2,Dropout,Pass,Pass,Pass,Dropout,Dropout,Fail,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Dropout,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
3,Dropout,Pass,Pass,Pass,Dropout,Dropout,Fail,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Dropout,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
4,Dropout,Pass,Dropout,Dropout,Dropout,Dropout,Fail,Pass,Fail,Fail,Dropout,Pass,Pass,Pass,Dropout,Dropout,Dropout,Dropout,Dropout,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Dropout,Pass,Dropout
5,Dropout,Pass,Dropout,Dropout,Dropout,Dropout,Fail,Pass,Fail,Fail,Dropout,Pass,Pass,Pass,Dropout,Dropout,Dropout,Dropout,Dropout,Pass,Pass,Pass,Pass,Pass,Pass,Dropout,Dropout,Pass,Dropout
6,Dropout,Pass,Dropout,Dropout,Dropout,Dropout,Fail,Pass,Fail,Fail,Dropout,Pass,Pass,Pass,Dropout,Dropout,Dropout,Dropout,Dropout,Pass,Pass,Pass,Pass,Pass,Pass,Dropout,Dropout,Pass,Dropout
7,Dropout,Pass,Dropout,Dropout,Dropout,Dropout,Fail,Pass,Fail,Fail,Dropout,Pass,Pass,Pass,Dropout,Dropout,Dropout,Dropout,Dropout,Pass,Pass,Pass,Pass,Pass,Pass,Dropout,Dropout,Pass,Dropout
8,Dropout,Pass,Pass,Pass,Dropout,Dropout,Fail,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Dropout,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
9,Dropout,Pass,Dropout,Dropout,Dropout,Dropout,Fail,Pass,Fail,Fail,Dropout,Pass,Pass,Pass,Dropout,Dropout,Dropout,Dropout,Dropout,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Dropout,Pass,Dropout
