,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
1,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
2,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
3,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
4,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
5,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
6,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
7,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
8,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
9,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
10,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
11,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
12,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
13,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
14,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
15,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
16,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
17,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
18,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
19,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
20,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
21,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
22,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
23,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
24,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
25,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
26,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
27,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
28,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
29,Fail,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout
