;Unnamed: 0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
0;0;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
1;1;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
2;2;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass
3;3;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass
4;4;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
5;5;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass
6;6;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
7;7;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass
8;8;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass
9;9;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout;Dropout
